picker_id,date,orders_picked,errors,hours_worked
PCK_001,01-01-2024,65,2,8.2
PCK_001,08-01-2024,65,0,6.9
PCK_001,15-01-2024,45,1,6.4
PCK_001,22-01-2024,72,2,9.2
PCK_001,29-01-2024,113,1,8.5
PCK_001,05-02-2024,35,2,8.4
PCK_001,12-02-2024,35,2,6.9
PCK_001,19-02-2024,77,1,6.4
PCK_001,26-02-2024,74,1,9
PCK_001,04-03-2024,51,2,7.3
PCK_001,11-03-2024,37,0,9
PCK_001,18-03-2024,34,2,8.8
PCK_001,25-03-2024,34,0,8.5
PCK_001,01-04-2024,44,2,7.8
PCK_001,08-04-2024,50,0,6.5
PCK_001,15-04-2024,70,1,8.9
PCK_001,22-04-2024,118,0,8.8
PCK_001,29-04-2024,95,1,7.1
PCK_001,06-05-2024,64,0,7.1
PCK_001,13-05-2024,105,1,9.4
PCK_001,20-05-2024,46,1,8.9
PCK_001,27-05-2024,77,1,7.1
PCK_001,03-06-2024,78,0,8.6
PCK_001,10-06-2024,34,2,8.8
PCK_001,17-06-2024,57,2,9.8
PCK_001,24-06-2024,46,1,9.6
PCK_002,01-01-2024,42,0,9.4
PCK_002,08-01-2024,76,0,8.6
PCK_002,15-01-2024,87,1,9
PCK_002,22-01-2024,117,2,8.6
PCK_002,29-01-2024,70,1,7.3
PCK_002,05-02-2024,56,2,9.5
PCK_002,12-02-2024,89,0,9.5
PCK_002,19-02-2024,35,0,9.5
PCK_002,26-02-2024,46,1,8.4
PCK_002,04-03-2024,39,2,7.5
PCK_002,11-03-2024,35,1,9.2
PCK_002,18-03-2024,50,0,9.6
PCK_002,25-03-2024,63,1,6.5
PCK_002,01-04-2024,116,0,6.3
PCK_002,08-04-2024,61,1,8.5
PCK_002,15-04-2024,56,1,8
PCK_002,22-04-2024,115,2,9.8
PCK_002,29-04-2024,43,1,9.6
PCK_002,06-05-2024,36,0,9.7
PCK_002,13-05-2024,43,1,9.3
PCK_002,20-05-2024,70,2,6.6
PCK_002,27-05-2024,74,0,6
PCK_002,03-06-2024,52,2,9.5
PCK_002,10-06-2024,43,2,6.2
PCK_002,17-06-2024,96,0,9.6
PCK_002,24-06-2024,47,1,7.5
PCK_003,01-01-2024,41,0,6.3
PCK_003,08-01-2024,43,0,7
PCK_003,15-01-2024,46,2,7.4
PCK_003,22-01-2024,79,2,7.1
PCK_003,29-01-2024,72,2,6.4
PCK_003,05-02-2024,71,0,8.8
PCK_003,12-02-2024,93,1,9
PCK_003,19-02-2024,95,2,7.4
PCK_003,26-02-2024,38,0,8.7
PCK_003,04-03-2024,92,0,8.3
PCK_003,11-03-2024,117,2,7.7
PCK_003,18-03-2024,36,0,7.3
PCK_003,25-03-2024,89,0,8.7
PCK_003,01-04-2024,75,1,8.8
PCK_003,08-04-2024,113,1,8.5
PCK_003,15-04-2024,59,2,7.4
PCK_003,22-04-2024,102,0,9
PCK_003,29-04-2024,64,1,8.1
PCK_003,06-05-2024,81,2,7.3
PCK_003,13-05-2024,80,2,8.5
PCK_003,20-05-2024,68,2,9
PCK_003,27-05-2024,77,0,8.6
PCK_003,03-06-2024,64,2,8.6
PCK_003,10-06-2024,111,2,8.7
PCK_003,17-06-2024,80,1,8.1
PCK_003,24-06-2024,66,0,9.1
PCK_004,01-01-2024,50,0,8.5
PCK_004,08-01-2024,82,0,7.8
PCK_004,15-01-2024,45,2,6.1
PCK_004,22-01-2024,72,2,10
PCK_004,29-01-2024,71,1,8.7
PCK_004,05-02-2024,115,2,9.6
PCK_004,12-02-2024,94,0,9.4
PCK_004,19-02-2024,76,0,9.9
PCK_004,26-02-2024,90,0,9.6
PCK_004,04-03-2024,105,0,8.7
PCK_004,11-03-2024,42,0,7.8
PCK_004,18-03-2024,47,1,7.6
PCK_004,25-03-2024,37,1,8.6
PCK_004,01-04-2024,72,0,7.4
PCK_004,08-04-2024,73,2,9.4
PCK_004,15-04-2024,94,2,7
PCK_004,22-04-2024,116,2,8.2
PCK_004,29-04-2024,49,2,7.5
PCK_004,06-05-2024,44,0,9.3
PCK_004,13-05-2024,114,0,8.7
PCK_004,20-05-2024,104,2,7
PCK_004,27-05-2024,52,1,6.4
PCK_004,03-06-2024,95,1,6.1
PCK_004,10-06-2024,80,2,8.7
PCK_004,17-06-2024,84,0,6.2
PCK_004,24-06-2024,74,0,8.8
PCK_005,01-01-2024,117,1,8.2
PCK_005,08-01-2024,86,2,8.2
PCK_005,15-01-2024,51,1,8.7
PCK_005,22-01-2024,35,1,6.8
PCK_005,29-01-2024,93,0,9
PCK_005,05-02-2024,49,0,7.1
PCK_005,12-02-2024,49,1,8.3
PCK_005,19-02-2024,73,2,9.2
PCK_005,26-02-2024,54,2,8.3
PCK_005,04-03-2024,111,2,9.3
PCK_005,11-03-2024,56,0,7.9
PCK_005,18-03-2024,50,0,9.5
PCK_005,25-03-2024,39,2,6.2
PCK_005,01-04-2024,67,2,9.3
PCK_005,08-04-2024,98,1,6.9
PCK_005,15-04-2024,105,2,7.2
PCK_005,22-04-2024,99,0,9.7
PCK_005,29-04-2024,47,0,6.2
PCK_005,06-05-2024,32,2,6.7
PCK_005,13-05-2024,77,0,9.9
PCK_005,20-05-2024,76,1,8.9
PCK_005,27-05-2024,56,2,9.2
PCK_005,03-06-2024,99,2,7.4
PCK_005,10-06-2024,117,1,7.8
