sku_id,date,opening_stock,closing_stock,reorder_level,replenishment_lead_time,unit_cost
SKU_0001,01-01-2024,1195,1045,283,3,1564.93
SKU_0001,08-01-2024,1392,1368,407,1,1013.91
SKU_0001,15-01-2024,1659,1526,275,6,1541.26
SKU_0001,22-01-2024,1791,1659,260,2,889.91
SKU_0001,29-01-2024,1893,1804,392,1,4008.59
SKU_0001,05-02-2024,2148,2096,208,1,4980.21
SKU_0001,12-02-2024,2303,2268,249,3,4539.34
SKU_0001,19-02-2024,2465,2363,215,1,4323.1
SKU_0001,26-02-2024,2620,2619,410,3,4705.77
SKU_0001,04-03-2024,2779,2600,434,4,3973.58
SKU_0001,11-03-2024,2924,2802,462,3,3929.06
SKU_0001,18-03-2024,3177,3080,205,3,1701.82
SKU_0001,25-03-2024,3260,3113,390,1,971.05
SKU_0001,01-04-2024,3326,3218,399,3,2949.87
SKU_0001,08-04-2024,3474,3408,243,5,2842.81
SKU_0001,15-04-2024,3729,3727,289,2,2907.03
SKU_0001,22-04-2024,4031,3957,462,3,4206.42
SKU_0001,29-04-2024,4320,4221,241,5,302.2
SKU_0001,06-05-2024,4381,4362,420,3,568.64
SKU_0001,13-05-2024,4701,4586,327,6,2098.61
SKU_0001,20-05-2024,4880,4681,300,1,4233.71
SKU_0001,27-05-2024,5065,4866,361,1,3939.18
SKU_0001,03-06-2024,5039,4888,383,5,3740.17
SKU_0001,10-06-2024,5210,5103,388,1,3908.23
SKU_0001,17-06-2024,5372,5258,421,1,3069.76
SKU_0001,24-06-2024,5594,5505,444,2,1521.5
SKU_0002,01-01-2024,953,793,493,1,3321.52
SKU_0002,08-01-2024,1030,915,294,5,536.84
SKU_0002,15-01-2024,1298,1207,250,6,4868.33
SKU_0002,22-01-2024,1463,1317,292,3,2674.48
SKU_0002,29-01-2024,1421,1245,291,6,4357.68
SKU_0002,05-02-2024,1568,1402,396,2,4406.63
SKU_0002,12-02-2024,1652,1521,498,6,1933.45
SKU_0002,19-02-2024,1901,1748,238,3,1302.36
SKU_0002,26-02-2024,1959,1852,347,2,2184.02
SKU_0002,04-03-2024,2051,2048,468,3,1064.18
SKU_0002,11-03-2024,2192,2146,405,1,1710.77
SKU_0002,18-03-2024,2369,2211,200,6,2871.45
SKU_0002,25-03-2024,2492,2306,293,1,3461.75
SKU_0002,01-04-2024,2571,2409,393,5,292.45
SKU_0002,08-04-2024,2742,2693,361,4,4011.04
SKU_0002,15-04-2024,3039,2842,419,6,4678.39
SKU_0002,22-04-2024,3009,2849,299,6,1134.61
SKU_0002,29-04-2024,3217,3139,388,1,3289.17
