order_id,order_date,ship_date,sku_id,quantity,zone,picker_id,processing_time_min,order_value,on_time_flag,priority
ORD_00001,18-06-2024,19-06-2024,SKU_0150,49,A,PCK_014,58,23229.93,1,Low
ORD_00002,13-06-2024,16-06-2024,SKU_0181,17,D,PCK_008,115,19076.84,1,High
ORD_00003,08-02-2024,11-02-2024,SKU_0044,47,C,PCK_017,41,5998.79,1,High
ORD_00004,28-06-2024,30-06-2024,SKU_0270,11,A,PCK_018,77,21573.11,0,Medium
ORD_00005,19-06-2024,22-06-2024,SKU_0241,9,D,PCK_002,76,3673.12,1,Medium
ORD_00006,28-01-2024,01-02-2024,SKU_0130,15,C,PCK_001,107,1367.85,1,High
ORD_00007,28-03-2024,31-03-2024,SKU_0177,24,A,PCK_008,14,2631.18,1,Low
ORD_00008,18-05-2024,22-05-2024,SKU_0171,48,A,PCK_005,47,17545.00,1,Medium
ORD_00009,01-06-2024,02-06-2024,SKU_0280,13,B,PCK_011,79,5894.49,0,Low
ORD_00010,25-05-2024,26-05-2024,SKU_0238,45,B,PCK_016,86,2007.17,1,High
ORD_00011,01-01-2024,04-01-2024,SKU_0033,40,A,PCK_015,102,20704.68,1,Medium
ORD_00012,10-05-2024,11-05-2024,SKU_0104,6,B,PCK_002,100,7042.19,1,High
ORD_00013,04-04-2024,08-04-2024,SKU_0162,48,D,PCK_010,89,6509.50,1,Low
ORD_00014,11-06-2024,12-06-2024,SKU_0243,42,A,PCK_009,116,17588.05,1,Low
ORD_00015,08-03-2024,10-03-2024,SKU_0098,5,C,PCK_010,36,5135.93,0,High
ORD_00016,06-04-2024,07-04-2024,SKU_0170,23,A,PCK_009,67,1216.56,1,Medium
ORD_00017,09-06-2024,12-06-2024,SKU_0224,39,D,PCK_013,41,6101.32,1,Medium
ORD_00018,22-03-2024,24-03-2024,SKU_0174,29,D,PCK_006,109,20887.29,1,Low
ORD_00019,30-04-2024,04-05-2024,SKU_0255,27,C,PCK_012,75,2560.41,0,High
ORD_00020,06-05-2024,10-05-2024,SKU_0218,24,D,PCK_003,26,6865.19,1,Low
ORD_00021,09-04-2024,12-04-2024,SKU_0093,10,C,PCK_018,79,19145.18,1,Medium
ORD_00022,02-02-2024,05-02-2024,SKU_0053,15,C,PCK_003,107,10107.70,0,Low
ORD_00023,22-01-2024,24-01-2024,SKU_0152,32,D,PCK_010,102,23462.10,1,Low
ORD_00024,24-06-2024,27-06-2024,SKU_0219,12,D,PCK_006,77,4576.25,1,Medium
ORD_00025,22-05-2024,24-05-2024,SKU_0229,26,C,PCK_002,19,8974.13,1,Low
ORD_00026,03-01-2024,05-01-2024,SKU_0223,47,A,PCK_009,91,24758.64,0,High
ORD_00027,05-01-2024,08-01-2024,SKU_0208,12,B,PCK_012,45,3687.11,1,High
ORD_00028,24-05-2024,25-05-2024,SKU_0074,15,D,PCK_020,20,8428.45,1,High
ORD_00029,08-03-2024,10-03-2024,SKU_0065,34,B,PCK_003,84,525.22,1,Low
ORD_00030,16-03-2024,20-03-2024,SKU_0188,13,D,PCK_012,38,10941.44,0,Low
ORD_00031,17-03-2024,20-03-2024,SKU_0017,11,B,PCK_020,24,20735.06,1,Low
ORD_00032,12-04-2024,15-04-2024,SKU_0231,22,C,PCK_012,11,17172.23,1,Medium
ORD_00033,28-02-2024,29-02-2024,SKU_0040,28,B,PCK_019,76,24099.30,1,Low
ORD_00034,19-03-2024,23-03-2024,SKU_0188,20,C,PCK_013,56,21505.32,1,Low
ORD_00035,08-02-2024,09-02-2024,SKU_0143,1,A,PCK_008,66,24607.45,1,High
ORD_00036,17-01-2024,20-01-2024,SKU_0096,35,D,PCK_016,47,18773.01,1,Low
ORD_00037,24-04-2024,28-04-2024,SKU_0061,15,C,PCK_009,34,9528.90,1,Low
ORD_00038,19-03-2024,23-03-2024,SKU_0229,25,C,PCK_007,36,4401.52,0,Low
ORD_00039,26-03-2024,30-03-2024,SKU_0252,46,A,PCK_007,62,19387.59,1,High
ORD_00040,29-04-2024,02-05-2024,SKU_0038,44,B,PCK_015,80,20021.55,1,Low
ORD_00041,17-04-2024,19-04-2024,SKU_0228,46,C,PCK_003,69,15607.93,1,Low
ORD_00042,22-06-2024,24-06-2024,SKU_0178,44,C,PCK_003,103,15159.02,1,Medium
ORD_00043,09-02-2024,11-02-2024,SKU_0081,22,C,PCK_006,18,6025.73,1,Low
ORD_00044,08-06-2024,12-06-2024,SKU_0115,13,B,PCK_004,11,11114.55,1,High
ORD_00045,30-01-2024,01-02-2024,SKU_0122,18,A,PCK_016,30,17171.19,1,Medium
ORD_00046,19-05-2024,21-05-2024,SKU_0284,45,C,PCK_019,104,7645.73,1,Medium
ORD_00047,26-03-2024,27-03-2024,SKU_0283,22,A,PCK_005,111,1470.66,1,High
ORD_00048,16-06-2024,17-06-2024,SKU_0159,46,D,PCK_013,50,3018.41,1,Low
ORD_00049,04-01-2024,06-01-2024,SKU_0211,20,A,PCK_014,89,15644.82,1,High
ORD_00050,11-03-2024,15-03-2024,SKU_0163,33,D,PCK_003,49,23560.32,1,Medium
ORD_00051,25-05-2024,26-05-2024,SKU_0265,33,B,PCK_012,42,9090.36,1,Low
ORD_00052,18-01-2024,20-01-2024,SKU_0094,38,D,PCK_005,35,8391.32,1,Low
ORD_00053,27-02-2024,29-02-2024,SKU_0029,34,B,PCK_004,55,20114.37,1,Medium
ORD_00054,10-01-2024,11-01-2024,SKU_0085,3,C,PCK_006,53,23812.97,0,Low
ORD_00055,25-01-2024,27-01-2024,SKU_0116,31,C,PCK_012,18,15606.81,1,High
ORD_00056,21-03-2024,25-03-2024,SKU_0129,28,C,PCK_007,85,23710.09,1,High
ORD_00057,04-01-2024,07-01-2024,SKU_0156,7,A,PCK_020,71,20463.22,1,Low
ORD_00058,04-04-2024,08-04-2024,SKU_0087,22,B,PCK_019,89,15138.16,1,High
ORD_00059,17-06-2024,20-06-2024,SKU_0173,42,A,PCK_019,12,13396.87,1,High
ORD_00060,11-04-2024,13-04-2024,SKU_0042,12,C,PCK_002,91,15035.33,1,Low
ORD_00061,24-01-2024,27-01-2024,SKU_0108,46,D,PCK_019,54,5870.74,1,Low
ORD_00062,16-02-2024,17-02-2024,SKU_0016,32,C,PCK_016,17,19847.61,1,Low
ORD_00063,24-02-2024,26-02-2024,SKU_0155,22,B,PCK_016,91,18120.44,1,Low
ORD_00064,25-01-2024,26-01-2024,SKU_0208,28,D,PCK_010,65,12585.28,1,High
ORD_00065,04-04-2024,05-04-2024,SKU_0031,15,D,PCK_006,44,2268.86,1,Medium
ORD_00066,14-01-2024,15-01-2024,SKU_0248,31,B,PCK_015,85,21772.68,1,Medium
ORD_00067,31-05-2024,04-06-2024,SKU_0074,28,C,PCK_011,33,15904.74,1,Low
ORD_00068,08-06-2024,12-06-2024,SKU_0177,49,B,PCK_013,29,1482.68,1,Medium
ORD_00069,03-02-2024,07-02-2024,SKU_0264,34,A,PCK_018,114,1220.16,1,Medium
ORD_00070,29-01-2024,01-02-2024,SKU_0124,6,A,PCK_015,75,22567.20,1,Medium
ORD_00071,07-01-2024,09-01-2024,SKU_0231,3,B,PCK_008,67,9299.20,1,High
ORD_00072,04-02-2024,05-02-2024,SKU_0026,35,D,PCK_010,49,18461.27,1,Low
ORD_00073,08-01-2024,12-01-2024,SKU_0215,42,B,PCK_008,109,15245.46,1,Medium
ORD_00074,25-02-2024,27-02-2024,SKU_0296,5,B,PCK_011,87,4933.94,1,High
ORD_00075,26-02-2024,28-02-2024,SKU_0256,47,D,PCK_017,50,2886.14,1,Medium
ORD_00076,05-06-2024,06-06-2024,SKU_0158,39,A,PCK_016,112,16734.22,1,High
ORD_00077,04-03-2024,05-03-2024,SKU_0202,35,D,PCK_017,98,10276.63,1,High
ORD_00078,04-03-2024,08-03-2024,SKU_0111,36,C,PCK_019,74,15168.49,0,High
ORD_00079,17-03-2024,20-03-2024,SKU_0026,3,D,PCK_010,56,6283.24,1,Low
ORD_00080,16-06-2024,18-06-2024,SKU_0241,12,A,PCK_010,89,11495.05,1,High
ORD_00081,17-04-2024,18-04-2024,SKU_0221,43,C,PCK_005,10,6593.50,0,Low
ORD_00082,14-05-2024,18-05-2024,SKU_0188,28,C,PCK_013,66,9301.64,1,High
ORD_00083,13-02-2024,16-02-2024,SKU_0206,37,B,PCK_002,46,16763.21,1,Medium
ORD_00084,13-02-2024,17-02-2024,SKU_0284,15,A,PCK_010,53,14841.18,1,Medium
ORD_00085,26-05-2024,30-05-2024,SKU_0259,2,C,PCK_015,70,7108.87,1,Low
ORD_00086,21-01-2024,25-01-2024,SKU_0061,1,A,PCK_005,46,1766.57,1,Medium
ORD_00087,17-05-2024,18-05-2024,SKU_0192,5,C,PCK_011,79,23379.94,1,High
ORD_00088,29-01-2024,31-01-2024,SKU_0102,20,D,PCK_020,60,17361.09,0,Low
ORD_00089,20-05-2024,23-05-2024,SKU_0021,34,A,PCK_002,97,621.03,1,High
ORD_00090,27-02-2024,28-02-2024,SKU_0171,47,D,PCK_016,38,14712.75,1,High
ORD_00091,19-05-2024,23-05-2024,SKU_0264,23,C,PCK_005,32,13540.00,1,Low
ORD_00092,09-02-2024,13-02-2024,SKU_0164,42,D,PCK_006,54,17764.68,1,Low
ORD_00093,20-06-2024,22-06-2024,SKU_0154,8,C,PCK_019,17,5114.55,1,Low
ORD_00094,04-05-2024,05-05-2024,SKU_0261,47,D,PCK_018,111,24102.00,1,Low
ORD_00095,22-05-2024,25-05-2024,SKU_0289,10,D,PCK_010,64,23643.05,1,High
ORD_00096,13-02-2024,14-02-2024,SKU_0189,47,A,PCK_011,91,20856.49,1,Medium
ORD_00097,26-01-2024,29-01-2024,SKU_0299,46,A,PCK_010,85,23308.24,0,Low
ORD_00098,01-03-2024,04-03-2024,SKU_0243,14,B,PCK_009,10,23551.45,1,Low
ORD_00099,03-02-2024,04-02-2024,SKU_0027,28,D,PCK_019,78,3111.53,1,High
ORD_00100,02-01-2024,04-01-2024,SKU_0269,33,D,PCK_020,73,8293.73,1,High
ORD_00101,11-03-2024,12-03-2024,SKU_0125,13,A,PCK_002,57,19668.44,1,High
ORD_00102,23-04-2024,27-04-2024,SKU_0010,38,C,PCK_015,84,16437.54,1,Medium
ORD_00103,28-04-2024,01-05-2024,SKU_0078,18,B,PCK_014,111,20292.23,0,Medium
ORD_00104,18-03-2024,21-03-2024,SKU_0257,1,D,PCK_020,32,21788.07,1,Low
ORD_00105,30-04-2024,03-05-2024,SKU_0032,15,B,PCK_005,63,641.09,1,Low
ORD_00106,22-01-2024,25-01-2024,SKU_0167,29,D,PCK_016,80,17538.95,1,Medium
ORD_00107,22-05-2024,26-05-2024,SKU_0089,44,C,PCK_015,58,9644.67,1,Low
ORD_00108,05-01-2024,08-01-2024,SKU_0182,14,D,PCK_009,20,4626.89,1,High
ORD_00109,02-04-2024,03-04-2024,SKU_0127,26,C,PCK_009,55,9804.75,0,High
ORD_00110,06-06-2024,08-06-2024,SKU_0153,29,B,PCK_010,75,22898.79,1,Low
ORD_00111,16-02-2024,17-02-2024,SKU_0251,37,D,PCK_011,21,10271.16,1,Medium
ORD_00112,01-03-2024,04-03-2024,SKU_0287,23,C,PCK_009,109,10161.95,1,High
ORD_00113,09-05-2024,12-05-2024,SKU_0294,21,D,PCK_018,117,13270.24,1,Medium
ORD_00114,21-05-2024,24-05-2024,SKU_0177,15,C,PCK_005,89,2246.37,1,High
ORD_00115,04-06-2024,07-06-2024,SKU_0148,21,C,PCK_003,84,1976.55,1,Medium
ORD_00116,20-04-2024,22-04-2024,SKU_0132,4,B,PCK_016,28,4575.12,1,High
ORD_00117,24-02-2024,26-02-2024,SKU_0276,47,C,PCK_009,61,8028.60,1,High
ORD_00118,04-03-2024,08-03-2024,SKU_0056,30,B,PCK_020,17,2695.85,1,High
ORD_00119,04-02-2024,05-02-2024,SKU_0026,25,B,PCK_017,58,10631.95,1,Low
ORD_00120,11-03-2024,14-03-2024,SKU_0120,39,A,PCK_002,16,21555.69,1,Medium
ORD_00121,27-06-2024,30-06-2024,SKU_0170,42,A,PCK_016,80,3118.48,1,Low
ORD_00122,10-04-2024,14-04-2024,SKU_0071,7,B,PCK_001,65,10900.92,1,Medium
ORD_00123,05-06-2024,09-06-2024,SKU_0244,47,B,PCK_016,53,13399.23,0,Medium
ORD_00124,23-02-2024,25-02-2024,SKU_0165,28,A,PCK_010,31,13121.79,1,High
ORD_00125,24-02-2024,27-02-2024,SKU_0294,42,A,PCK_008,18,15469.03,0,High
