shipment_id,order_id,carrier,distance_km,shipping_cost,delivery_time_days,promised_days,delivery_status
SHP_ORD_00001,ORD_00001,BlueDart,20.62,76.13,4,4,On-Time
SHP_ORD_00002,ORD_00002,FedEx,1471.08,4634.24,3,3,On-Time
SHP_ORD_00003,ORD_00003,DTDC,1308.54,3788.57,4,4,On-Time
SHP_ORD_00004,ORD_00004,Delhivery,1465.00,6327.61,3,2,Late
SHP_ORD_00005,ORD_00005,BlueDart,1979.63,6154.07,1,1,On-Time
SHP_ORD_00006,ORD_00006,FedEx,80.03,259.58,1,1,On-Time
SHP_ORD_00007,ORD_00007,DTDC,1048.01,3846.84,2,2,On-Time
SHP_ORD_00008,ORD_00008,Delhivery,708.14,2024.62,4,4,On-Time
SHP_ORD_00009,ORD_00009,DTDC,97.04,293.02,5,4,Late
SHP_ORD_00010,ORD_00010,DTDC,961.94,2960.20,2,2,On-Time
SHP_ORD_00011,ORD_00011,FedEx,1009.57,4521.98,2,2,On-Time
SHP_ORD_00012,ORD_00012,BlueDart,112.38,344.15,3,3,On-Time
SHP_ORD_00013,ORD_00013,Delhivery,548.34,1496.00,1,1,On-Time
SHP_ORD_00014,ORD_00014,FedEx,1013.46,3017.14,4,4,On-Time
SHP_ORD_00015,ORD_00015,DTDC,1856.25,5396.59,6,4,Late
SHP_ORD_00016,ORD_00016,DTDC,1120.05,3778.85,2,2,On-Time
SHP_ORD_00017,ORD_00017,BlueDart,645.91,2427.63,4,4,On-Time
SHP_ORD_00018,ORD_00018,BlueDart,868.80,3415.15,4,4,On-Time
SHP_ORD_00019,ORD_00019,DTDC,863.46,3783.88,3,1,Late
SHP_ORD_00020,ORD_00020,Delhivery,1268.85,5366.02,4,4,On-Time
SHP_ORD_00021,ORD_00021,FedEx,1886.87,5342.88,3,3,On-Time
SHP_ORD_00022,ORD_00022,Delhivery,1843.55,4926.87,4,2,Late
SHP_ORD_00023,ORD_00023,BlueDart,689.12,3070.21,3,3,On-Time
SHP_ORD_00024,ORD_00024,BlueDart,1033.81,3230.28,2,2,On-Time
SHP_ORD_00025,ORD_00025,Delhivery,712.89,2952.34,1,1,On-Time
SHP_ORD_00026,ORD_00026,Delhivery,404.74,1332.51,2,1,Late
SHP_ORD_00027,ORD_00027,DTDC,1147.49,3424.73,3,3,On-Time
SHP_ORD_00028,ORD_00028,BlueDart,1380.71,3526.84,2,2,On-Time
SHP_ORD_00029,ORD_00029,BlueDart,1680.03,8118.43,1,1,On-Time
SHP_ORD_00030,ORD_00030,Delhivery,29.62,79.31,2,1,Late
SHP_ORD_00031,ORD_00031,DTDC,488.30,1304.97,1,1,On-Time
SHP_ORD_00032,ORD_00032,Delhivery,1411.54,6805.09,3,3,On-Time
SHP_ORD_00033,ORD_00033,BlueDart,829.88,3346.81,4,4,On-Time
SHP_ORD_00034,ORD_00034,FedEx,1438.36,6476.55,1,1,On-Time
SHP_ORD_00035,ORD_00035,FedEx,958.10,3908.63,3,3,On-Time
SHP_ORD_00036,ORD_00036,DTDC,1322.83,4888.84,1,1,On-Time
SHP_ORD_00037,ORD_00037,Delhivery,1884.61,7592.40,4,4,On-Time
SHP_ORD_00038,ORD_00038,BlueDart,1988.17,5435.60,4,2,Late
SHP_ORD_00039,ORD_00039,Delhivery,1315.60,4325.81,4,4,On-Time
SHP_ORD_00040,ORD_00040,DTDC,809.80,3502.93,1,1,On-Time
SHP_ORD_00041,ORD_00041,DTDC,214.70,703.61,4,4,On-Time
SHP_ORD_00042,ORD_00042,DTDC,983.35,2802.71,3,3,On-Time
SHP_ORD_00043,ORD_00043,BlueDart,1715.66,6765.33,4,4,On-Time
SHP_ORD_00044,ORD_00044,Delhivery,1519.48,7529.59,3,3,On-Time
SHP_ORD_00045,ORD_00045,DTDC,677.64,2563.48,4,4,On-Time
SHP_ORD_00046,ORD_00046,FedEx,251.15,1054.62,1,1,On-Time
SHP_ORD_00047,ORD_00047,Delhivery,1641.32,5411.24,4,4,On-Time
SHP_ORD_00048,ORD_00048,Delhivery,1660.04,6851.07,4,4,On-Time
SHP_ORD_00049,ORD_00049,DTDC,1867.25,5717.58,1,1,On-Time
SHP_ORD_00050,ORD_00050,FedEx,1703.59,5700.43,4,4,On-Time
SHP_ORD_00051,ORD_00051,Delhivery,378.76,994.04,3,3,On-Time
SHP_ORD_00052,ORD_00052,Delhivery,603.06,1597.34,4,4,On-Time
SHP_ORD_00053,ORD_00053,FedEx,1669.47,7355.67,3,3,On-Time
SHP_ORD_00054,ORD_00054,Delhivery,1438.38,5315.77,5,4,Late
SHP_ORD_00055,ORD_00055,FedEx,331.86,1457.75,3,3,On-Time
SHP_ORD_00056,ORD_00056,DTDC,182.79,701.70,3,3,On-Time
SHP_ORD_00057,ORD_00057,FedEx,468.61,1286.76,1,1,On-Time
SHP_ORD_00058,ORD_00058,BlueDart,742.85,3110.76,4,4,On-Time
SHP_ORD_00059,ORD_00059,BlueDart,1921.87,5457.09,2,2,On-Time
SHP_ORD_00060,ORD_00060,FedEx,1440.44,5451.57,4,4,On-Time
SHP_ORD_00061,ORD_00061,BlueDart,1075.48,4698.54,3,3,On-Time
SHP_ORD_00062,ORD_00062,BlueDart,169.73,699.78,1,1,On-Time
SHP_ORD_00063,ORD_00063,DTDC,331.13,919.78,2,2,On-Time
SHP_ORD_00064,ORD_00064,DTDC,269.26,1289.99,1,1,On-Time
SHP_ORD_00065,ORD_00065,Delhivery,292.55,766.37,4,4,On-Time
SHP_ORD_00066,ORD_00066,DTDC,1048.60,4131.33,3,3,On-Time
SHP_ORD_00067,ORD_00067,BlueDart,1912.00,7192.16,3,3,On-Time
SHP_ORD_00068,ORD_00068,DTDC,447.65,1562.87,3,3,On-Time
SHP_ORD_00069,ORD_00069,DTDC,1971.65,5745.78,4,4,On-Time
SHP_ORD_00070,ORD_00070,FedEx,391.22,998.09,3,3,On-Time
SHP_ORD_00071,ORD_00071,DTDC,976.15,2496.54,2,2,On-Time
SHP_ORD_00072,ORD_00072,Delhivery,731.74,1867.25,2,2,On-Time
SHP_ORD_00073,ORD_00073,FedEx,1128.19,5217.61,1,1,On-Time
SHP_ORD_00074,ORD_00074,Delhivery,1969.49,8266.88,3,3,On-Time
SHP_ORD_00075,ORD_00075,DTDC,563.55,2758.43,4,4,On-Time
SHP_ORD_00076,ORD_00076,FedEx,1890.64,5843.55,4,4,On-Time
SHP_ORD_00077,ORD_00077,DTDC,1891.87,7101.75,2,2,On-Time
SHP_ORD_00078,ORD_00078,DTDC,955.27,2621.11,3,2,Late
SHP_ORD_00079,ORD_00079,FedEx,132.53,516.90,1,1,On-Time
SHP_ORD_00080,ORD_00080,Delhivery,955.75,2544.17,2,2,On-Time
SHP_ORD_00081,ORD_00081,BlueDart,528.62,1400.14,5,4,Late
SHP_ORD_00082,ORD_00082,BlueDart,962.93,4182.29,3,3,On-Time
SHP_ORD_00083,ORD_00083,DTDC,577.51,1658.01,3,3,On-Time
SHP_ORD_00084,ORD_00084,BlueDart,70.36,312.34,1,1,On-Time
SHP_ORD_00085,ORD_00085,DTDC,1082.26,3324.60,2,2,On-Time
SHP_ORD_00086,ORD_00086,BlueDart,899.38,2256.31,1,1,On-Time
SHP_ORD_00087,ORD_00087,Delhivery,780.46,2953.39,1,1,On-Time
SHP_ORD_00088,ORD_00088,FedEx,1634.67,4750.23,4,3,Late
SHP_ORD_00089,ORD_00089,Delhivery,90.00,304.76,4,4,On-Time
SHP_ORD_00090,ORD_00090,DTDC,1150.55,4764.34,1,1,On-Time
SHP_ORD_00091,ORD_00091,BlueDart,1019.18,3916.15,1,1,On-Time
SHP_ORD_00092,ORD_00092,FedEx,1360.40,5492.22,2,2,On-Time
SHP_ORD_00093,ORD_00093,DTDC,1692.37,5174.03,1,1,On-Time
SHP_ORD_00094,ORD_00094,BlueDart,342.59,1487.22,1,1,On-Time
SHP_ORD_00095,ORD_00095,BlueDart,886.16,4341.53,1,1,On-Time
SHP_ORD_00096,ORD_00096,BlueDart,1543.59,4696.24,3,3,On-Time
SHP_ORD_00097,ORD_00097,DTDC,892.32,3405.43,5,3,Late
SHP_ORD_00098,ORD_00098,BlueDart,1809.97,8119.23,4,4,On-Time
SHP_ORD_00099,ORD_00099,Delhivery,1594.29,5804.24,1,1,On-Time
SHP_ORD_00100,ORD_00100,Delhivery,1369.32,4705.04,1,1,On-Time
SHP_ORD_00101,ORD_00101,BlueDart,1839.76,5886.37,3,3,On-Time
SHP_ORD_00102,ORD_00102,DTDC,1207.41,5108.01,4,4,On-Time
SHP_ORD_00103,ORD_00103,Delhivery,319.33,1580.49,3,2,Late
SHP_ORD_00104,ORD_00104,Delhivery,1358.94,4940.14,4,4,On-Time
SHP_ORD_00105,ORD_00105,Delhivery,1560.03,5954.63,4,4,On-Time
SHP_ORD_00106,ORD_00106,Delhivery,617.40,1884.33,3,3,On-Time
SHP_ORD_00107,ORD_00107,DTDC,830.39,3062.25,4,4,On-Time
SHP_ORD_00108,ORD_00108,Delhivery,1446.65,5445.74,2,2,On-Time
SHP_ORD_00109,ORD_00109,FedEx,1612.94,5087.87,5,4,Late
SHP_ORD_00110,ORD_00110,Delhivery,1114.00,5313.49,4,4,On-Time
SHP_ORD_00111,ORD_00111,DTDC,819.24,3498.83,1,1,On-Time
SHP_ORD_00112,ORD_00112,BlueDart,88.68,367.14,4,4,On-Time
SHP_ORD_00113,ORD_00113,DTDC,94.99,315.38,1,1,On-Time
SHP_ORD_00114,ORD_00114,DTDC,1711.29,4984.05,3,3,On-Time
SHP_ORD_00115,ORD_00115,Delhivery,1628.44,4736.02,2,2,On-Time
SHP_ORD_00116,ORD_00116,FedEx,1153.00,5536.83,1,1,On-Time
SHP_ORD_00117,ORD_00117,FedEx,338.33,1653.47,4,4,On-Time
SHP_ORD_00118,ORD_00118,FedEx,332.52,1602.56,1,1,On-Time
SHP_ORD_00119,ORD_00119,BlueDart,1219.72,5538.12,1,1,On-Time
